,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
108,딱 좋아(Just right),spotify:track:4ER58qECydWokIsgqtysWu,Just right,spotify:album:4159syQKTGC1JSJN4xBScv,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2015-07-13,64,222398
109,Royal Rumble,spotify:track:6o6TrhWzrZMgVppt7KsjcG,CNBLUE 7TH MINI ALBUM 7ºCN,spotify:album:31jGGmFTsimp5huBqOaFDQ,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2017-03-20,20,309989
110,Love Revolution,spotify:track:6sK4fd6i7Q2fSn8xDPYt6I,Bluetory,spotify:album:6uXXlobOpwaecX1eNZtW4O,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2010-01-14,32,196571
111,She Doesn't Know,spotify:track:0LdtZFVvEF0iW7BF1NCYVl,Colorful Sensibility (2),spotify:album:1BWh3LgJlvHdGFlZLPlCmk,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2008-08-22,25,252866
112,Loner,spotify:track:7wqBDFp7JZfWp3aPaC4gHQ,Bluetory,spotify:album:6uXXlobOpwaecX1eNZtW4O,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2010-01-14,53,217861
113,Eye Eye Eyes,spotify:track:2T2WoYvHBMQyYybz96tYoe,SIGNAL,spotify:album:2KzJ3k5eXUvE0Ebgp6Nezv,TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,2017-05-15,41,175760
114,Get Down (KEY&MINHO),spotify:track:5ES0k0HhhRxudud5zyCsrp,"2009, Year Of Us - The Third Mini Album",spotify:album:5AH7uBaxp7ojNCvImOeZvC,SHINee,spotify:artist:2hRQKC0gqlZGPrmUKbcchR,2009-10-19,24,183293
115,Intro - We Are BIGBANG,spotify:track:09evj5XqnVuZg7RX5CFhD4,Always,spotify:album:4T1fv3gIYifquPf9dRhJei,BIGBANG,spotify:artist:4Kxlr1PRlDKEB0ekOCyHgX,2007-08-16,18,96853
116,Listen to My Word,spotify:track:0Xon47L3Az6X2yvJKPw0w3,LISTEN TO MY WORD,spotify:album:6QvmWWW11IuzaHrB2p3cCP,OH MY GIRL,spotify:artist:2019zR22qK2RBvCqtudBaI,2016-08-01,40,210711
117,you are my flower,spotify:track:5zNkQccuzIPR8cqnaPxFdH,YOLO,spotify:album:3ftTxlybHp0Qo2065V1RAg,KIM YON JA,spotify:artist:53B7GJTtZOCDQD8d8kxKox,2017-04-19,15,263106
118,Like Ooh-Ahh,spotify:track:1Jk8M1iFFoTcL0IMuDHdsJ,The Story Begins,spotify:album:1kNjZtyacMvP8a4zyR3lzG,TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,2015-10-20,65,215080
119,Star,spotify:track:7F8uVSXOgdAJBuGimjqoGu,Thriller,spotify:album:5gUUDM4y3rk2Xohgc2HYtr,BTOB,spotify:artist:2hcsKca6hCfFMwwdbFvenJ,2013-09-09,24,225776
120,Let's Get,spotify:track:16MH4038ZnxktNE8wTTNND,THE SPECIAL TO KISSME,spotify:album:36uQmSXdOeaXBydFVViYSu,U-KISS,spotify:artist:2GB76Lm833jVI5kLvKEB7Z,2012-06-05,0,213240
121,I Can`t Believe,spotify:track:25HkwKyw1UcMm5k5jbWeiU,PRESENT,spotify:album:5g3gHqqV7Z15in7Fv1QhQ0,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2013-11-26,14,199470
122,동방의 투혼 - 2 Step Remix,spotify:track:7q2CQPhDwzkR8V0nDT2LPW,동방의 투혼,spotify:album:4qIxVpGQdjpO8DhXaHcNHy,TVXQ!,spotify:artist:6nVMMEywS5Y4tsHPKx1nIo,2006-06-02,3,276826
123,Miracle,spotify:track:0FTjcv07zkgjVSRCMyDe08,Bran New KISS,spotify:album:3lW2t5R6BWEH3JB2Fxsm6L,U-KISS,spotify:artist:2GB76Lm833jVI5kLvKEB7Z,2011-03-30,9,188055
124,Soyogi,spotify:track:3f3bGK6YRTMFYysVnDTfnN,Japan Special Album Vol.1,spotify:album:69HCDHFtTqiCAg8qen5YC6,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2010-04-14,12,308040
125,Marry Me,spotify:track:7kZEEkbnUrhH88gw6whhQk,Cross & Change (3),spotify:album:16umVrTmaWQUL3uXJ8FfG4,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2009-07-16,14,215016
126,Lie Lie,spotify:track:3FzV5X2wib1xWJmEkruDah,Power,spotify:album:6JPcJLE61wFt80KNSrTww6,B.A.P,spotify:artist:6kxCoNfY6U1eP0Yc88phvk,2012-04-27,25,222119
127,Switch to me (duet with JYP),spotify:track:1LjhBbl5MvGz2rYcz5Fhgm,Switch to me (duet with JYP),spotify:album:3XnNc5DV6LdZODUjV3YJVp,Rain,spotify:artist:5L4EafeXwZ0stGuPtGr5Tz,2020-12-31,62,197204
128,The Tree - Instrumental,spotify:track:640a3pvp62WHd7BLGp2iXM,"'The Unexpected Meeting', Pt. 8",spotify:album:7qvHH54l4h78z7dEIXNYGt,Yang Hee Eun,spotify:artist:0BD74hBusWzcPz44wFskYb,2017-03-15,15,222224
129,Shadows - FTISLAND Arena Tour 2017 - UNITED SHADOWS - Live at 日本武道館 2017.6.2,spotify:track:0EUszMGUE58ucrTAf3R2wX,Paradise,spotify:album:5nLNChEe5uX5HO6pH4gPLS,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2017-08-23,11,256160
130,Lie,spotify:track:0JEfUeaFf97Z9JJxRVh8fn,Double Date,spotify:album:2i5P0S9yPQHtWqaaz6ORhr,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2009-10-26,10,250272
131,Playground,spotify:track:4ZxQ3UUPuaJSky9jcZCh3u,Got It?,spotify:album:7E3W9C5Ac3RKnFpKErEgGD,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2014-01-20,43,212820
132,Fight For Freedom,spotify:track:3GmqoUoQajFa0u0NMh4VTW,Power,spotify:album:6JPcJLE61wFt80KNSrTww6,B.A.P,spotify:artist:6kxCoNfY6U1eP0Yc88phvk,2012-04-27,17,87405
133,Lie,spotify:track:397bCWVjvlXsVuCleDhEkV,One Date,spotify:album:1TIDiLsSrbI2Ws8PDfbeky,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2009-10-13,9,248084
134,Real World,spotify:track:2G45rhURo7gr71UnVWLcV8,COLORING BOOK,spotify:album:6Qk2v26qUnHf8TAPh8KFXw,OH MY GIRL,spotify:artist:2019zR22qK2RBvCqtudBaI,2017-04-03,21,200521
135,What about me?,spotify:track:5R68xN8jxGMIve1wz0nfHE,Paradise,spotify:album:5nLNChEe5uX5HO6pH4gPLS,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2017-08-23,14,235546
136,Robot,spotify:track:3yTN949rd357C3eyuGP97Q,PRESENT,spotify:album:5g3gHqqV7Z15in7Fv1QhQ0,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2013-11-26,14,194501
137,Amen,spotify:track:3ga5Yf1UiU5lJJB2mft8dO,RUSH,spotify:album:0ESTAnvX2zjMBxzesNAiR7,Monsta X,spotify:artist:4TnGh5PKbSjpYqpIdlW5nz,2015-09-07,34,236937
138,Ring Ding Dong,spotify:track:4vLqN0bIxIQjlet2mIMBnx,"2009, Year Of Us - The Third Mini Album",spotify:album:5AH7uBaxp7ojNCvImOeZvC,SHINee,spotify:artist:2hRQKC0gqlZGPrmUKbcchR,2009-10-19,57,233280
139,Why,spotify:track:3rFjMDH95FhlsrfbXo6dEN,Thriller,spotify:album:5gUUDM4y3rk2Xohgc2HYtr,BTOB,spotify:artist:2hcsKca6hCfFMwwdbFvenJ,2013-09-09,20,219924
140,Independence Movement Day,spotify:track:5DV0OEK9gd47kzKGdJlkGt,YOLO,spotify:album:3ftTxlybHp0Qo2065V1RAg,KIM YON JA,spotify:artist:53B7GJTtZOCDQD8d8kxKox,2017-04-19,11,304906
141,Beautiful Thing,spotify:track:3HhQ5NsZuHT0GFr6UI5xR3,Vacation (Original Sound Track),spotify:album:0a4wkWvQithhzP7L9K3VuJ,TVXQ!,spotify:artist:6nVMMEywS5Y4tsHPKx1nIo,2006-07-28,18,200360
142,동방의 투혼 - Instrumental,spotify:track:5CRrmlPDBStmTeNZJAgSkQ,동방의 투혼,spotify:album:4qIxVpGQdjpO8DhXaHcNHy,TVXQ!,spotify:artist:6nVMMEywS5Y4tsHPKx1nIo,2006-06-02,2,275933
143,YOUNG,spotify:track:49HmLcTG7tsqz32TF3rnCC,YOUNG,spotify:album:5XN0VfKWEWpxhjcks8MGLe,Loco,spotify:artist:2e4G04F77jxVuDYo44TCSm,2018-08-31,50,229666
144,One Of A Kind,spotify:track:5k81mneaBrigWLYn51DW7l,FIRST STEP (1),spotify:album:4Ty85EGCANvI9RdAM4oy4J,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2011-03-21,19,240640
145,Piano Man - Piano Version,spotify:track:7KiLhihuxFi4B0kHgDIfKg,Piano Man,spotify:album:1E1dfdqofKqvpCfsKuBvA1,MAMAMOO,spotify:artist:0XATRDCYuuGhk0oE7C0o5G,2014-11-21,28,195237
146,Don't be happy - Instrumental,spotify:track:5YXXawKmDEwHwpPE1cesZ8,Don't be happy,spotify:album:1yR52w8BNOwAgh55kPqfc2,MAMAMOO,spotify:artist:0XATRDCYuuGhk0oE7C0o5G,2013-01-09,16,216998
147,Will you go out with me Ballad Version,spotify:track:4u9XUP1As0eMZZIlzSc2eZ,YOLO,spotify:album:3ftTxlybHp0Qo2065V1RAg,KIM YON JA,spotify:artist:53B7GJTtZOCDQD8d8kxKox,2017-04-19,14,298213
148,Pink Lemonade,spotify:track:53JPvPxpC5IU4gYVmDLqU6,Wake Me Up,spotify:album:6IAy5NUKOpoJ3RHC9snSmI,TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,2018-05-16,43,220412
149,이뻐요,spotify:track:7D7UcgDy0G78h2izy15ya3,이뻐요,spotify:album:4146oEwWMQ37jp9oaem1j4,Yoon Gun,spotify:artist:4oH4QZuZSXhKMkaG0pXZf0,2009-06-02,4,201953
150,POISON,spotify:track:5t9w5O8sLvbB7hwfyzNXi5,DYE,spotify:album:5lX6uJNNwzEZU7TF1RyAdT,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2020-04-20,59,175602
151,Hello,spotify:track:7CvDQmNrhSxSuFt9eLyShm,Hello,spotify:album:6ObdXGOYYKiEdpAtK9xCen,MAMAMOO,spotify:artist:0XATRDCYuuGhk0oE7C0o5G,2014-06-18,43,43587
