,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
64,빠빠빠 2.0,spotify:track:1WhKMQ3MMgO9exUKkrAHqf,The Streets Go Disco,spotify:album:0XBTvnpOSEsCEydJhyWZbL,Crayon Pop,spotify:artist:0ODX6aegsZkBmBeMA5qqwi,2013-09-26,18,181002
66,Lucky Wannabeee!,spotify:track:14sde9ZWzmyVqyhFFqVrkP,Gossip Girls,spotify:album:3Xmnl9mKu8ntzenUVWy27g,T-ARA,spotify:artist:1R52cwGf75yTf7I3Q0Irf8,2014-05-14,5,210840
67,NEVER ENDING STORY,spotify:track:1ii5FD6ueV9zt2vfvs5U7u,CODE#03 SET ME FREE,spotify:album:5IucA8A0gP5gHptTSLJoP2,LADIES' CODE,spotify:artist:4epPY1AW9lQeVUM1XaFiwi,2019-10-10,15,213506
68,Right Here,spotify:track:28sxSw09u00bTSNKjHqTBE,THE SPHERE,spotify:album:5yfHNbTIp3GGW7f8TXAc11,THE BOYZ,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx,2018-09-12,15,201675
71,Q&A,spotify:track:1pHCzbRvRFg59Kvc7WHckN,Q&A,spotify:album:4qpCDSbJiez1wPcplEv2ET,SEVENTEEN,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,2015-12-04,53,220437
72,Dreaming,spotify:track:7rzkvI41jCS1sk3jo3WUZs,Ginagram,spotify:album:77axThBShK4S98N2j1qTtb,G.NA,spotify:artist:3hzcooxMtbApMTvvn6XKVA,2005-07-01,0,390011
73,Gimme Love,spotify:track:5uqqH6ZTLsTCjwndgIhhNE,Playgirlz,spotify:album:0obo0sLH1LvDH1oytR29cL,After School,spotify:artist:1loWI8jVk9btgJXHgqHXPD,2012-04-08,16,221955
76,SUNRISE,spotify:track:3Y6LoWqQOJmPvxBFnISSCd,READY,spotify:album:7B3oVojpRRwBvEVQ2dCfgF,VICTON,spotify:artist:0ziR2zN0NFcB4x1G3P8cW3,2017-03-02,34,190735
77,Sayonara ga Dekinai,spotify:track:2BVaw2Zc1qX8hIDhd6v7Ld,Kokoro (First Edition|Hyung-Jun Version),spotify:album:3OeVNDfu1hBz3NQoviWD1I,SS501,spotify:artist:6rmMpoeu2SIV4OLURCOn2e,2007,2,202985
78,니가 웃잖아,spotify:track:3fyArWtotQkUHyXlIvJPDd,Dream Pt.01,spotify:album:0oLRrPp2Fyt4zMZrLhofL6,ASTRO,spotify:artist:4pz4uzOMpJQyV8UTsDy4H8,2017-05-29,41,207704
80,Black Out,spotify:track:5HWHSONXKtoXYBjUic2mgs,GHOST OST,spotify:album:2YN7saT6Ibk0k0Q80GDqfM,MBLAQ,spotify:artist:14f1WN9TUDVBK4sHUStmLG,2012-07-17,5,92055
81,白昼夢,spotify:track:1Jh0lamDPcrgk8SPoGE3U6,KARAコレクション,spotify:album:7qG6wl36o4sPlCEE3Cq4lJ,KARA,spotify:artist:7aZ221EQfonNG2lO9Hh192,2012-01-01,5,227560
82,Crossroad,spotify:track:4JoE52qSplPaywYoyKUznF,N.Flying 3rd Mini Album [THE HOTTEST : N.Flying],spotify:album:7mvDrCwozKiQBOPglJfjUb,N.Flying,spotify:artist:2ZmXexIJAD7PgABrj0qQRb,2018-01-03,33,225001
84,Miracle,spotify:track:4nCGsPzblrbNNYN2omyoZL,Miracle,spotify:album:0EnTUW7UnNsVx5aGb0CFWX,Apink,spotify:artist:2uWcrwgWmZcQc3IPBs3tfU,2018-04-19,22,216677
86,"Baby, Touch Me",spotify:track:40DFbxCAQz8GlwnBME9m1a,Memories,spotify:album:7ayQ1RYsxMRIQryhkDHeWC,U-KISS,spotify:artist:2GB76Lm833jVI5kLvKEB7Z,2014-03-19,0,229493
87,SOMEONE'S SOMEONE,spotify:track:0nP9JFMx8z5QNl5Ph8ExEa,SOMEONE'S SOMEONE,spotify:album:3CFYV1F2RIDoHyinrBv8y5,Monsta X,spotify:artist:4TnGh5PKbSjpYqpIdlW5nz,2019-10-04,54,141290
88,MORE & MORE,spotify:track:2bAAj29XGc4h1G4oEGYCmg,MORE & MORE,spotify:album:1bUx6TFAyzCdZY9ugEXxRh,TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,2020-06-01,64,199653
89,Friends(Feat. Tiger JK),spotify:track:1go9k6013XI6I7ERWA1DYa,Rain`s World (Special Edition),spotify:album:3TWt4LZfkgGfMfKlvkWORh,Rain,spotify:artist:5L4EafeXwZ0stGuPtGr5Tz,2006-12-06,15,236733
