song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
mago,spotify:track:46WaBBaEHzgbN88Ew0nh50,回:walpurgis night,spotify:album:6keRNtq7CnhNrD2EIKOA6h,gfriend,spotify:artist:0qlWcS66ohOIi0M8JZwPft,11/9/20,78,199133,0.00548,0.621,0.821,0.0005780000000000001,6.0,0.142,-3.662,0.0,0.0364,120.06200000000001,4.0,0.6459999999999999
your eyes tell,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,map of the soul : 7 ~ the journey ~,spotify:album:1nScVw87kRJiT2bg2Kswhp,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,7/14/20,78,245146,0.27899999999999997,0.449,0.491,0.0,9.0,0.0654,-6.433,0.0,0.028999999999999998,139.923,4.0,0.258
dingga,spotify:track:0bDYceyQd1jnJO4sK47YxU,dingga,spotify:album:4xzsBcZaK04c8IE5iVyMNK,mamamoo,spotify:artist:0XATRDCYuuGhk0oE7C0o5G,10/20/20,77,179080,0.0549,0.772,0.925,0.0,9.0,0.201,-2.7880000000000003,0.0,0.10800000000000001,119.963,4.0,0.795
love to hate me,spotify:track:7iKDsPfLT0d5mu2htfMKBZ,the album,spotify:album:71O60S5gIJSIAhdnrDIh3N,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,10/2/20,77,169800,0.0368,0.68,0.6559999999999999,0.0,8.0,0.10099999999999999,-4.539,1.0,0.138,162.17700000000002,4.0,0.5820000000000001
crazy over you,spotify:track:7qq0EOPW4RRlqdvMBmdd73,the album,spotify:album:71O60S5gIJSIAhdnrDIh3N,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,10/2/20,77,161946,0.0383,0.805,0.66,8.66e-05,4.0,0.18899999999999997,-5.393,1.0,0.0762,114.95100000000001,4.0,0.545
make a wish (birthday song),spotify:track:1Q5SpQeocfNXefx76svqkl,nct resonance pt. 1 - the 2nd album,spotify:album:1rGpCbxrR8efs4nMPdUj1q,nct,spotify:artist:48eO052eSDcn8aTxiv6QaG,10/12/20,77,229400,0.0632,0.732,0.795,0.0,8.0,0.0569,-2.263,1.0,0.1,100.954,4.0,0.693
god’s menu,spotify:track:0RzT9tBLcQhofW2TNiHP9B,go live,spotify:album:7B3Rmyws1KcAxQfYPoInEZ,stray kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,6/17/20,77,167922,0.0077599999999999995,0.6890000000000001,0.7709999999999999,0.0,5.0,0.521,-3.6180000000000003,1.0,0.0548,157.05200000000002,4.0,0.48200000000000004
fancy,spotify:track:0W5hTAWn8Tq0Qfhg1XP3YW,fancy you,spotify:album:2qoWlACJtoG0L5owi7Tj0I,twice,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,4/22/19,77,213880,0.0122,0.6970000000000001,0.8740000000000001,0.0,5.0,0.627,-2.15,0.0,0.045,132.02200000000002,4.0,0.775
feel special,spotify:track:2HtcPHFdo7eu4Ilbvb0BVI,feel special,spotify:album:5MmndGNrJgTLd5W7HNmVST,twice,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,9/23/19,77,206866,0.0296,0.7090000000000001,0.9590000000000001,0.0018800000000000002,1.0,0.107,-1.339,1.0,0.0603,128.983,4.0,0.644
my time,spotify:track:4vTgx6h4seHvkuFh84JXYP,map of the soul : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/21/20,77,234457,0.151,0.674,0.64,0.0,0.0,0.0925,-5.138999999999999,0.0,0.0339,99.90799999999999,4.0,0.664
sour candy (lady gaga with blackpink),spotify:track:6R6ZoHTypt5lt68MWbzZXv,sour candy (with blackpink),spotify:album:6y6lP1WRfqEhv8RLy4ufZB,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,5/28/20,77,157706,0.0604,0.752,0.87,1.12e-05,9.0,0.489,-3.812,0.0,0.0623,120.006,4.0,0.784
black swan,spotify:track:24NuEDgyRIljwSyY0lsr7b,black swan,spotify:album:4RR8ROIGix5CbCGlXHA53I,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,1/17/20,76,198260,0.13699999999999998,0.7190000000000001,0.758,0.0,2.0,0.129,-5.167000000000001,0.0,0.0851,147.023,4.0,0.49
dynamite - holiday remix,spotify:track:6SM3TJaWkmT8Iq8l9J0BIS,dynamite (holiday remix),spotify:album:3HVNK5OxW9qfkySXjHWehH,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,12/11/20,76,213314,0.0185,0.69,0.873,0.0,9.0,0.0526,-1.66,1.0,0.0734,114.03,4.0,0.599
more & more,spotify:track:3omvXShuRPM3zbDpWYqf5g,more & more,spotify:album:5KsduuDNWzt65TaHzmtciv,twice,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,6/1/20,76,199653,0.0312,0.7390000000000001,0.841,0.0,5.0,0.17300000000000001,-4.162,1.0,0.06,106.99,4.0,0.562
la di da,spotify:track:60M8FSYZP8MA0Wy2huOADL,-77.82x-78.29,spotify:album:1F2CtDmTEiyJRv2bCf6989,everglow,spotify:artist:3ZZzT0naD25RhY2uZvIKkJ,9/21/20,76,210893,0.00108,0.47700000000000004,0.85,0.0,3.0,0.0675,-1.486,0.0,0.0911,163.845,4.0,0.601
mikrokosmos,spotify:track:5hnbE5BF2e8BCk9OMR1UVC,map of the soul : persona,spotify:album:1AvXa8xFEXtR3hb4bgihIK,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,4/12/19,76,224225,0.125,0.58,0.858,0.0,8.0,0.0502,-5.212000000000001,1.0,0.114,174.03900000000002,3.0,0.475
90's love,spotify:track:0B36SbjfDv15ji1bQEEeTN,nct resonance pt. 2 - the 2nd album,spotify:album:3Bd1xSHPmhIEH97idB634s,nct,spotify:artist:48eO052eSDcn8aTxiv6QaG,11/23/20,76,213666,0.0688,0.743,0.924,0.0,1.0,0.11199999999999999,-1.501,0.0,0.0642,107.995,4.0,0.7020000000000001
spring day,spotify:track:0WNGsQ1oAuHzNTk8jivBKW,you never walk alone,spotify:album:7LF4N7lvyDhrPBuCJ1rplJ,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/13/17,76,274097,0.0063,0.539,0.846,1.68e-06,8.0,0.13,-3.1919999999999997,1.0,0.0354,106.992,4.0,0.46
hip,spotify:track:24nK8tW7Pt3Inh2utttuoG,reality in black,spotify:album:7CucpzwxAZ6kHmctI9eo4X,mamamoo,spotify:artist:0XATRDCYuuGhk0oE7C0o5G,11/14/19,76,195306,0.0376,0.782,0.731,3.15e-05,3.0,0.0956,-4.581,0.0,0.14300000000000002,138.032,4.0,0.8240000000000001
we are bulletproof : the eternal,spotify:track:44WLOqH7QayQOQdeUHeKUK,map of the soul : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/21/20,76,261542,0.225,0.526,0.575,0.0,9.0,0.10800000000000001,-5.215,0.0,0.0309,84.04700000000001,4.0,0.19
panorama,spotify:track:0CnpSTdL9l5vQM4YnzXtyo,one-reeler / act iv,spotify:album:3gfl9D7cMW3K87YiMbqsWK,iz*one,spotify:artist:5r1tUTxVSgvBHnoDuDODPH,12/7/20,76,222853,0.0429,0.726,0.963,0.00157,9.0,0.128,-1.111,0.0,0.0916,126.06200000000001,4.0,0.769
aya,spotify:track:4BZXVFYCb76Q0Klojq4piV,travel,spotify:album:3xje7wSW2xwQx2GNJ5cfNu,mamamoo,spotify:artist:0XATRDCYuuGhk0oE7C0o5G,11/3/20,76,211280,0.10099999999999999,0.634,0.858,8.56e-06,4.0,0.258,-2.226,0.0,0.0809,91.68799999999999,4.0,0.637
future,spotify:track:2gvlPqqngL3BppFCwLXnVc,start-up (original television soundtrack) pt. 1,spotify:album:06h9n6zGd1T17s1RkdXIc4,red velvet,spotify:artist:1z4g3DjTBBZKhvAroFlhOM,10/17/20,76,215880,0.43799999999999994,0.7170000000000001,0.868,0.0,7.0,0.14800000000000002,-3.073,1.0,0.04,100.005,4.0,0.552
friends,spotify:track:7w05lsU2VLSeiT8Nukrv5M,map of the soul : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/21/20,75,199338,0.0668,0.55,0.747,0.0,1.0,0.0536,-5.211,1.0,0.0407,79.98,4.0,0.648
00:00 (zero o’clock),spotify:track:4AlihYDqxXshKhvh5tnMfP,map of the soul : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/21/20,75,250295,0.0802,0.5660000000000001,0.5479999999999999,0.0,1.0,0.11,-6.456,1.0,0.0579,157.999,4.0,0.196
solo,spotify:track:2wVDWtLKXunswWecARNILj,solo,spotify:album:7qAJpYeABXN9ZV5wOOX59k,jennie,spotify:artist:250b0Wlc5Vk0CoUsaCY84M,11/12/18,75,169566,0.0861,0.7509999999999999,0.642,0.0,3.0,0.0953,-5.165,0.0,0.087,95.045,4.0,0.38799999999999996
blood sweat & tears,spotify:track:5RGf8qn1TBWVplLyyKUsuV,wings,spotify:album:17FnTn4P3Bkyf6mbNQDhhy,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,10/10/16,75,217051,0.0244,0.583,0.885,0.0,0.0,0.35700000000000004,-3.571,0.0,0.106,92.959,4.0,0.601
make it right (feat. lauv),spotify:track:314ZkcV7oLWG8yWE7LABvH,make it right (feat. lauv),spotify:album:0ZI6Q1QJSYdeEQPvKzX1XR,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,10/18/19,75,226321,0.0304,0.584,0.685,0.0,7.0,0.18899999999999997,-7.811,1.0,0.425,97.551,4.0,0.345
dream of you (with r3hab),spotify:track:5SEvxpu5ImOFOcXyeM8fbx,dream of you (with r3hab),spotify:album:7v5VyW176u5m9aNcnvs2Cv,chung ha,spotify:artist:2PSJ6YriU7JsFucxACpU7Y,11/26/20,75,192735,0.0347,0.659,0.738,2.26e-06,5.0,0.114,-3.8939999999999997,0.0,0.0659,117.081,4.0,0.615
moon,spotify:track:1xfXXujIlLZAx5wpu46Nyk,map of the soul : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/21/20,75,208589,0.0104,0.703,0.6459999999999999,0.0,6.0,0.191,-6.6579999999999995,1.0,0.0596,141.87,4.0,0.64
pied piper,spotify:track:0ffweDHrg4bZqdG4IfGYuo,love yourself 承 'her',spotify:album:2FTS6a6DLXMNp8flyA0HGO,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,9/18/17,75,245620,0.2,0.583,0.7120000000000001,0.0,2.0,0.268,-4.942,0.0,0.0326,94.051,4.0,0.7759999999999999
inner child,spotify:track:4BKOjYosPhw334moS3wlbO,map of the soul : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/21/20,75,233265,0.017,0.589,0.696,0.0,11.0,0.0808,-7.981,1.0,0.0725,134.953,4.0,0.332
you never know,spotify:track:39kzWAiVPpycdMpr745oPj,the album,spotify:album:71O60S5gIJSIAhdnrDIh3N,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,10/2/20,74,229213,0.248,0.39,0.475,0.0,5.0,0.158,-5.489,1.0,0.0989,72.08800000000001,4.0,0.276
gangnam style (강남스타일),spotify:track:03UrZgTINDqvnUMbbIMhql,gangnam style (강남스타일),spotify:album:0ZjxizLeMyFEjR27JIvD99,psy,spotify:artist:2dd5mrQZvg6SmahdgVKDzh,1/1/12,74,219493,0.00417,0.727,0.937,0.0,11.0,0.091,-2.8710000000000004,0.0,0.28600000000000003,132.067,4.0,0.7490000000000001
ugh!,spotify:track:1aKuG1GG76xPLUkjBbQo3W,map of the soul : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/21/20,74,225012,0.0394,0.72,0.8240000000000001,0.0,10.0,0.0509,-5.086,0.0,0.128,165.998,4.0,0.33299999999999996
what do i call you,spotify:track:3Wu4lFjkhcXxB6WWaX9gtr,what do i call you - the 4th mini album,spotify:album:70XJeDlFe1LmZo1lyFKyq3,taeyeon,spotify:artist:3qNVuliS40BLgXGxhdBdqu,12/15/20,74,167746,0.0733,0.75,0.586,0.0,11.0,0.34700000000000003,-4.638999999999999,0.0,0.0674,139.889,4.0,0.835
louder than bombs,spotify:track:3op7HNwLli54MBjFGzIlZO,map of the soul : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/21/20,74,217404,0.0433,0.643,0.667,0.0,0.0,0.0904,-6.992999999999999,0.0,0.152,145.999,4.0,0.485
fake love,spotify:track:3aW0ds4A4tSQDIp75FqWTo,love yourself 轉 'tear',spotify:album:2jJfnAZE6IG3oYnUv2eCj4,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,5/18/18,74,242333,0.00267,0.557,0.7190000000000001,0.0,2.0,0.306,-4.515,0.0,0.0372,77.501,4.0,0.344
dun dun,spotify:track:3CyCjgTHFzqucmECajq8QA,reminiscence,spotify:album:5ByQ39IHGxrddAwQcnxvoj,everglow,spotify:artist:3ZZzT0naD25RhY2uZvIKkJ,2/3/20,74,192280,0.0457,0.6920000000000001,0.8809999999999999,4.26e-06,11.0,0.146,-2.563,0.0,0.0461,103.055,4.0,0.433
home,spotify:track:7lthOBXNue2IvedLRfkod8,map of the soul : persona,spotify:album:1AvXa8xFEXtR3hb4bgihIK,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,4/12/19,74,234177,0.0142,0.633,0.799,0.0,7.0,0.19399999999999998,-4.625,0.0,0.0429,142.991,4.0,0.535
make it right,spotify:track:6KUE0HSSudAp9AOycaF6SH,map of the soul : persona,spotify:album:1AvXa8xFEXtR3hb4bgihIK,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,4/12/19,73,226321,0.0104,0.638,0.703,0.0,7.0,0.132,-7.874,1.0,0.444,105.766,4.0,0.261
candy,spotify:track:6kKC35sKUh2FUx4M0qAL44,delight - the 2nd mini album,spotify:album:75sPv82oaDKYjtuuS4l3Vc,baekhyun,spotify:artist:4ufh0WuMZh6y4Dmdnklvdl,5/25/20,73,227173,0.24,0.649,0.767,0.0,11.0,0.0929,-3.838,0.0,0.0455,149.918,4.0,0.608
burning up (fire),spotify:track:4z9gBZQjGS4QLb4LOvmeuA,the most beautiful moment in life: young forever,spotify:album:7qvA0kf1dkmR1As2gOnBPn,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,5/2/16,73,203351,0.00227,0.627,0.706,0.0,10.0,0.122,-3.201,0.0,0.0597,99.93,4.0,0.536
home;run,spotify:track:2iW0q5jJJT5HKlIs25AAgv,; [semicolon],spotify:album:1EMYSiKKTSKLZrOC2nTStL,seventeen,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,10/19/20,73,184426,0.0613,0.687,0.9420000000000001,0.0,2.0,0.17300000000000001,-2.8169999999999997,1.0,0.0741,96.10600000000001,4.0,0.765
save me,spotify:track:54s6sdPuMjVtdB5d5KFzTC,the most beautiful moment in life: young forever,spotify:album:7qvA0kf1dkmR1As2gOnBPn,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,5/2/16,73,196505,0.0269,0.614,0.823,0.0,1.0,0.0783,-3.48,1.0,0.062,139.94799999999998,4.0,0.539
love shot,spotify:track:0yB4jrSwN0bFtFRDR5vyMj,love shot– the 5th album repackage,spotify:album:3r5m8utqRZYJnpep7xxVyq,exo,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,12/13/18,73,200306,0.0702,0.6890000000000001,0.6779999999999999,0.0,5.0,0.0889,-4.287,0.0,0.11900000000000001,145.88299999999998,4.0,0.335
last piece,spotify:track:6xrjIHbm6ga5J8HhOS2Rmn,breath of love: last piece,spotify:album:5vL6vinpOUVWOV2T8VjL4H,got7,spotify:artist:6nfDaffa50mKtEOwR8g4df,11/30/20,73,222119,0.0324,0.715,0.866,0.0,3.0,0.109,-5.505,0.0,0.14800000000000002,98.03399999999999,4.0,0.688
