,Artist,ID,Type,Gender,Generation,DebutYear
24,LPG,spotify:artist:2tRM4eOC6iIvdCCf3y8GRD,group,female,2.0,2005
25,IVY,spotify:artist:7wBrxhzcHVIis4VL3iR6hF,solo,female,2.0,2005
26,BIGBANG,spotify:artist:4Kxlr1PRlDKEB0ekOCyHgX,group,male,2.0,2006
27,Brown Eyed Girls,spotify:artist:2GEPtT5RDxrmdi0A4mbDi7,group,female,2.0,2006
28,SeeYa,spotify:artist:3Mbxr8TL0Sny7dUNicKWm2,group,female,2.0,2006
29,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,group,male,2.0,2007
30,Wonder Girls,spotify:artist:3Cv2vi3WTl8VZOTdrBkKdM,group,female,2.0,2007
31,KARA,spotify:artist:7aZ221EQfonNG2lO9Hh192,group,female,2.0,2007
32,Son Dam Bi,spotify:artist:3cCbcs6r1Lma7MfEjyfCGU,solo,female,2.0,2007
33,Sunny Hill,spotify:artist:1ePYD8tMMM4Y8gbwi69vaf,group,coed,2.0,2007
34,SHINee,spotify:artist:2hRQKC0gqlZGPrmUKbcchR,group,male,2.5,2008
35,2AM,spotify:artist:5SnaL8SsjGMHQNyqpa8Zos,group,male,2.5,2008
36,2PM,spotify:artist:5iRPbkcPmqAFFwDUj6ywVS,group,male,2.5,2008
37,U-KISS,spotify:artist:2GB76Lm833jVI5kLvKEB7Z,group,male,2.5,2008
38,IU,spotify:artist:3HqSLMAZ3g3d5poNaI7GOU,solo,female,2.5,2008
39,JOO,spotify:artist:7exKyATJk2jkltULZKqckA,solo,female,2.5,2008
40,Beast,spotify:artist:1Pr9gT0veB2tgcisQeIGoC,group,male,2.5,2009
41,MBLAQ,spotify:artist:14f1WN9TUDVBK4sHUStmLG,group,male,2.5,2009
42,2NE1,spotify:artist:1l0mKo96Jh9HVYONcRl3Yp,group,female,2.5,2009
43,4Minute,spotify:artist:6cdC1cwqh3eJAXaxXJt2jv,group,female,2.5,2009
44,After School,spotify:artist:1loWI8jVk9btgJXHgqHXPD,group,female,2.5,2009
45,T-ARA,spotify:artist:1R52cwGf75yTf7I3Q0Irf8,group,female,2.5,2009
46,f(x),spotify:artist:3wRA5UYoo08BBKJnzyKkpF,group,female,2.5,2009
47,Rainbow,spotify:artist:7xDyxRXgFgOZhdtLtkYR1y,group,female,2.5,2009
48,Secret,spotify:artist:503DjcVO5Ku1NgLPhVuNg7,group,female,2.5,2009
49,NS Yoon-G,spotify:artist:15EDMg4DaX49QQyxlBzC2f,solo,female,2.5,2009
50,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,group,male,2.5,2010
51,ZE:A,spotify:artist:6lGfLCig2b5mvDTtsPSrb0,group,male,2.5,2010
52,INFINITE,spotify:artist:1bkpTEmumLC3xc7HgMsttU,group,male,2.5,2010
53,TEEN TOP,spotify:artist:3offPqpKAKmpQkIdWnjzkc,group,male,2.5,2010
54,miss A,spotify:artist:1BEohdSWSBggmO979tzRwW,group,female,2.5,2010
55,9MUSES,spotify:artist:55tJwpPIz9BMrSLM45iEXX,group,female,2.5,2010
56,Girl's Day,spotify:artist:13kJgvU22LHMsJtGWLmx7W,group,female,2.5,2010
57,SISTAR,spotify:artist:2wTLheTmMcFCA4hdY8hZJP,group,female,2.5,2010
58,Orange Caramel,spotify:artist:2QHTtUsN6Q13w3QHdfRqsK,group,female,2.5,2010
59,G.NA,spotify:artist:3hzcooxMtbApMTvvn6XKVA,solo,female,2.5,2010
60,Coed School,spotify:artist:6ZsTqFoNYY6cyRcKnvOu3A,group,coed,2.5,2010
61,B1A4,spotify:artist:3sxWOFw4MSN54SIQ8np6iG,group,male,2.5,2011
62,Block B,spotify:artist:4RnezwRV7VBJUCI1S0AE5u,group,male,2.5,2011
63,BOYRFIREND,spotify:artist:2Pw8E6zZoeuksVWtyZPnzd,group,male,2.5,2011
64,Raina,spotify:artist:2lkUAt5tu0ucVOMFT9hYtg,solo,female,2.5,2011
65,Apink,spotify:artist:2uWcrwgWmZcQc3IPBs3tfU,group,female,2.5,2011
66,Brave Girls,spotify:artist:7t5H3uQv0Zw6cQUnSTF5BB,group,female,2.5,2011
67,F-Ve Dolls,spotify:artist:1nw5g6u9BIPwyqlsm01cDP,group,female,2.5,2011
68,Stellar,spotify:artist:1rTwKjYcA7diHAD2c8ZozT,group,female,2.5,2011
69,Dalshabet,spotify:artist:10xsuRNvidaOLxWd3fRIel,group,female,2.5,2011
70,Trouble Maker,spotify:artist:0ztjVBmFk6OuHq6XBBwMI9,group,coed,2.5,2011
71,EXID,spotify:artist:1xs6WFotNQSXweo0GXrS0O,group,female,2.5,2012
72,SPICA,spotify:artist:5S3bx90A4ZX5RV02jRCOp9,group,female,2.5,2012
73,AOA,spotify:artist:54gWVQFHf8IIqbjxAoOarN,group,female,2.5,2012
74,Crayon Pop,spotify:artist:0ODX6aegsZkBmBeMA5qqwi,group,female,2.5,2012
75,FIESTAR,spotify:artist:3IVjXrnR0npv1LY24kQSzd,group,female,2.5,2012
76,HELLOVENUS,spotify:artist:3TW9U1f93tpGBsEtCSf7JG,group,female,2.5,2012
77,AILEE,spotify:artist:3uGFTJ7JMllvhgGpumieHF,solo,female,2.5,2012
78,Anda,spotify:artist:2PZt7SATrAxsNG60Mqkan4,solo,female,2.5,2012
79,LADIES' CODE,spotify:artist:4epPY1AW9lQeVUM1XaFiwi,group,female,2.5,2013
80,B.A.P,spotify:artist:6kxCoNfY6U1eP0Yc88phvk,group,male,3.0,2012
81,BTOB,spotify:artist:2hcsKca6hCfFMwwdbFvenJ,group,male,3.0,2012
82,EXO,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,group,male,3.0,2012
83,VIXX,spotify:artist:5BkB3rXc0qIdUtuEnhbK0A,group,male,3.0,2012
84,NU'EST,spotify:artist:1iQfn1B8V25iQoolQakyAZ,group,male,3.0,2012
85,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,group,male,3.0,2013
86,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,group,male,3.0,2014
87,WINNER,spotify:artist:5DuzBeOgFwViFcv00Q5PFb,group,male,3.0,2014
88,MAMAMOO,spotify:artist:0XATRDCYuuGhk0oE7C0o5G,group,female,3.0,2014
89,Red Velvet,spotify:artist:1z4g3DjTBBZKhvAroFlhOM,group,female,3.0,2014
90,Lovelyz,spotify:artist:3g34PW5oNmDBxMVUTzx2XK,group,female,3.0,2014
91,CLC,spotify:artist:6QyO41KctzGc70mVaVnXQO,group,female,3.0,2015
92,GFRIEND,spotify:artist:0qlWcS66ohOIi0M8JZwPft,group,female,3.0,2015
93,OH MY GIRL,spotify:artist:2019zR22qK2RBvCqtudBaI,group,female,3.0,2015
94,DIA,spotify:artist:5Pcx98OUnL52aGZRRQx5v8,group,female,3.0,2015
