,name,album,artist,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
73,One Thing,Up All Night,One Direction,2012-05-25,74,0.00233,0.713,197600,0.718,0.0,2,0.0838,-3.806,1,0.0278,126.999,4,0.656
74,ZzZz,reality in BLACK,MAMAMOO,2019-11-14,50,0.28,0.688,205346,0.638,0.0,8,0.0602,-4.188,1,0.177,163.865,4,0.773
75,Waggy,White Wind,MAMAMOO,2019-03-14,50,0.531,0.916,192378,0.793,0.000298,5,0.0807,-5.371,0,0.101,124.941,4,0.875
76,Paint Me,Paint Me,MAMAMOO,2018-01-04,47,0.71,0.504,218917,0.462,0.0,2,0.168,-4.156,0,0.0323,128.27,4,0.257
77,SELFISH,RED MOON,MAMAMOO,2018-07-16,40,0.297,0.502,192577,0.7,0.0,1,0.154,-3.66,1,0.126,87.201,4,0.64
78,Woo Hoo,Woo Hoo,MAMAMOO,2016-04-04,47,0.194,0.689,193576,0.88,0.0,11,0.272,-3.431,1,0.121,111.936,4,0.702
79,"눈,코,입 (Eyes, Nose, Lips)",RISE,TAEYANG,2014-06-13,67,0.738,0.631,229989,0.516,0.0,0,0.264,-5.759,1,0.0378,143.777,4,0.254
80,"무제(無題) (Untitled, 2014)",KWON JI YONG,G-DRAGON,2017-06-08,63,0.785,0.575,222867,0.461,1.75e-05,4,0.13,-5.153,1,0.0317,79.971,4,0.266
81,Fly,FLIGHT LOG : DEPARTURE,GOT7,2016-03-21,54,0.201,0.604,191575,0.905,0.0,7,0.345,-1.87,1,0.165,132.974,4,0.718
82,어떻게 말해 How Can I Say,SUNRISE,DAY6,2017-06-07,53,0.00573,0.393,201848,0.945,0.0,11,0.0987,-0.995,0,0.0866,185.971,4,0.506
83,Say Yes,"Moonlovers: Scarlet Heart Ryeo (Original Television Soundtrack), Pt 2",Loco,2016-08-29,67,0.353,0.685,218897,0.777,0.0,1,0.329,-4.654,0,0.063,95.049,4,0.417
84,Honeybody,Sonderlust,Kishi Bashi,2016-09-16,54,0.776,0.392,266453,0.408,0.156,5,0.113,-9.779,1,0.0396,74.646,4,0.509
85,"Annie, Heart Thief of the Sea",Omoiyari,Kishi Bashi,2019-05-31,34,0.637,0.361,254720,0.577,3.9e-05,6,0.4,-5.951,1,0.0294,76.219,4,0.542
86,Conversations at the End of the World,String Quartet Live!,Kishi Bashi,2015-11-13,27,0.5,0.312,296893,0.281,0.0081,7,0.984,-11.625,0,0.0351,157.243,3,0.155
87,How Far I'll Go,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2016-11-18,75,0.649,0.571,163386,0.307,0.0,1,0.178,-10.958,0,0.0499,83.72,4,0.108
88,Since U Been Gone,Breakaway,Kelly Clarkson,2004-01-17,73,0.00165,0.662,188960,0.741,0.0303,0,0.114,-5.406,1,0.0334,131.0,4,0.404
89,Love On Top,4,Beyoncé,2011-06-24,75,0.0849,0.652,267413,0.748,0.0,0,0.604,-5.242,1,0.0887,94.1,4,0.652
90,+REWIND170205+,In The Name Of Love 1,CL,2019-12-04,51,0.08,0.435,156734,0.619,6.89e-06,9,0.129,-6.566,0,0.136,130.73,5,0.332
91,+I QUIT180327+,In The Name Of Love,CL,2019-12-17,45,0.386,0.858,183724,0.495,0.0,3,0.153,-6.567,1,0.0484,144.906,4,0.645
92,You Calling My Name,Call My Name,GOT7,2019-11-04,70,0.0917,0.813,194707,0.667,0.0,0,0.0802,-4.061,0,0.0616,111.02,4,0.514
93,딱 좋아(Just right),Just right,GOT7,2015-07-13,66,0.233,0.76,222398,0.781,0.0,11,0.106,-2.881,0,0.0641,95.97,4,0.736
94,Heartbeat,Member's Selection,2PM,2012-05-21,41,0.00339,0.632,193398,0.913,0.0,1,0.134,-3.513,1,0.143,134.898,4,0.587
95,Dick & Jane,"청춘시대 Age of Youth, Hello, My Twenties! (Music from the Korean Tv Drama Pop Album)",Various Artists,2016-08-19,0,0.548,0.756,138533,0.936,0.000571,9,0.124,-5.523,1,0.145,126.021,4,0.768
96,On Your Collarbone,"청춘시대 Age of Youth, Hello, My Twenties! (Music from the Korean Tv Drama Pop Album)",Various Artists,2016-08-19,0,0.68,0.538,259786,0.298,0.014,9,0.537,-13.739,1,0.0299,139.111,4,0.329
97,Stand Up,To The Beautiful You OST,Various Artists,2011,0,0.00363,0.533,170394,0.896,1.71e-06,7,0.149,-3.126,1,0.0444,98.922,4,0.456
98,Fidelity,Begin to Hope,Regina Spektor,2006-06-13,62,0.52,0.923,226680,0.518,0.000142,5,0.104,-6.008,1,0.0492,93.023,4,0.682
99,Two Birds,Far (Deluxe Version),Regina Spektor,2009-06-09,36,0.802,0.546,195840,0.5,0.00108,0,0.107,-8.881,1,0.0379,150.92,4,0.449
