,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
5794,WHITE NIGHT,spotify:track:3yq48eRG04UryOATzpwr4V,WHITE NIGHT,spotify:album:4AE3KNhHuzlTURK6c77eaR,TAEYANG,spotify:artist:6udveWUgX4vu75FF0DTrXV,2017-08-16,39,85585
2081,Call It Love,spotify:track:6umBmcMxeC2kRbwCMNgElC,Flourishing,spotify:album:1lNM7RF1SVUs66OtLj4MQh,CHUNG HA,spotify:artist:2PSJ6YriU7JsFucxACpU7Y,2019-06-24,39,241093
4696,Fairy Of Shampoo,spotify:track:2qkLKjzsVXey1y4RrdN3Az,[Vol.10] You Hee yul's Sketchbook 10th Anniversary Project : 4th Voice 'Sketchbo,spotify:album:0MR6APJZ8jQE3FMKQB5iaP,Hwa Sa,spotify:artist:7bmYpVgQub656uNTu6qGNQ,2019-03-23,39,239928
4400,Blacklist (Feat. LE),spotify:track:4FNEiAZkTqkdCgcUtBVu9E,A Talk,spotify:album:78Ei6os3WDar0sgVlGz0yJ,HyunA,spotify:artist:3UwlejyX2b458azZ7eCnHb,2014-07-28,39,209737
5491,Colours,spotify:track:5UdNiDyUwbFbvub18HmKK7,FAMOUS,spotify:album:7zdKOUglfNFwRPoambtnBE,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2019-08-04,39,199853
1902,쿠데타 COUP D'ETAT,spotify:track:4APPgJ05L7rS6oHMzubrRY,COUP D'ETAT,spotify:album:7K8twkW7PyQJKbLVREH3PW,G-DRAGON,spotify:artist:30b9WulBM8sFuBo17nNq9c,2013-11-05,39,178856
3719,December,spotify:track:5rpFNrOoB6rVKc0K8Gv9Qx,BORN AGAIN,spotify:album:5t40BdoTOPrSnUcWDoGA6o,TURBO,spotify:artist:3aboSJaljyYlTRXt7pEH0G,1997-01-01,38,260832
4754,2:34,spotify:track:41xOxmNk7fYwZat1apOrzE,"JONGHYUN The Collection ""Story Op.1""",spotify:album:6tYoidZViVVzSXG4jKEmNd,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2015-09-17,38,225993
1700,A train to chuncheon 춘천가는 기차 (Monthly Project 2019 May Yoon Jong Shin with TAEYEON),spotify:track:1KRlCvX9PcA6caCEMOToWy,A train to chuncheon 춘천가는 기차 (Monthly Project 2019 May Yoon Jong Shin with TAEYEON),spotify:album:4gQZoFtgrZ66oEhc0yQo7G,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2019-05-21,38,294700
6382,Do It Baby,spotify:track:6CUsnRiXEgdQ7eeYfKZgmR,Flame of Love,spotify:album:2OH9BPH2vFMNiugYT6FrMC,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2017-07-03,38,162693
1979,Exclusive,spotify:track:2IGLyOK0X2Cp3cIJ0LhLBx,FAMOUS,spotify:album:7zdKOUglfNFwRPoambtnBE,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2019-08-04,38,203320
3694,Flame of Love,spotify:track:0nZ7moisZ1jdlBBoi6rgJI,Flame of Love,spotify:album:2OH9BPH2vFMNiugYT6FrMC,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2017-07-03,38,234093
1327,Fxxk U (feat.Bumkey),spotify:track:3Mh1qIRhKi7g6ZlMvtgAGn,Truth or Dare,spotify:album:0piskRApt5KdcJCjsuBN6t,Gain,spotify:artist:4R60A85t9mTZzCqJlVswuo,2014-02-06,38,217103
1685,Do You Love Me?,spotify:track:0AVEpbtqLhYMRqzhJ9zjeM,Purpose - The 2nd Album Repackage,spotify:album:5IlYFprRPoMZ0qeNh6ghcs,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2020-01-15,38,248322
