,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
116,I have a lover,spotify:track:5QB226DVOouhsggZLI04KL,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,32,241531
3,Still Alive,spotify:track:2uDbAd6taMMeoyOAc9leBU,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,10/7/20,26,177733
27,FEVER - Short Ver.,spotify:track:7K83CINdxtWgI28F367bXX,FEVER,spotify:album:53TALEgFIb2n7aVBIrfyf0,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,12/23/19,26,133925
149,The House You Live,spotify:track:69BNK96j5ppDhn1ZNNBbNh,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,25,227386
56,꽉 잡은 이 손 This Small Hand,spotify:track:4EBV15AFhjeLxXfFoDZe3w,꽉 잡은 이 손,spotify:album:01A9PQedRCzjBnjH6QYGlV,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2/9/19,24,263619
74,When We Disco,spotify:track:05E6VZXF20GNviFAaZzvhT,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,10/7/20,24,226626
104,Farewell Under the Sun,spotify:track:5iWKBtZw5agtGnVSmeS8uJ,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,22,271906
84,"어머님이 누구니 Soul ver. (feat. 이진아, 지존) Who's your mama? Soul ver. (feat. Lee Jin Ah, JiJohn)",spotify:track:5DEaWQ4RyRidCL9zFDAyzF,24/34,spotify:album:2650xgY3CzjGxyvztdrncF,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,5/13/15,22,215663
106,사랑이 제일 낫더라 Greatest of These (with Namgung Songok & Gaeko),spotify:track:2xRTAuIyL2xDgzVNhBIHRq,Halftime,spotify:album:0WD4C1F65xkn7nRSEvBZ9b,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,9/9/13,20,190440
100,YOU'RE THE ONE - Happy Ending version,spotify:track:1loZ2sXlduERRabHEGdSRF,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,10/7/20,20,260426
21,놀만큼 놀아봤어 Had Enough Parties,spotify:track:5TptQGaQyCqCMHbWCUj0iN,Halftime,spotify:album:0WD4C1F65xkn7nRSEvBZ9b,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,9/9/13,19,212820
43,No Love No More,spotify:track:66UWohmkvEgmVlb12YfdPX,Sad Freedom,spotify:album:0SxD8XFgG98lTQ1axhrmvR,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,12/1/09,19,220029
15,다른 사람 품에 안겨서 Someone Else (with Gain),spotify:track:5KmrnDZL033kPkOeov2yZP,Spring - 5 Songs for a New Love,spotify:album:5Ami0gmp8cK6rj6q0vrD8z,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,4/29/12,19,199096
151,Kiss,spotify:track:4lLoeOgYmfqxRBvBFjGm3F,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,18,210760
50,Eum Eum Eum,spotify:track:7cwqcec0GIocNaKXANZGG5,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,17,194119
139,Feel So Good,spotify:track:0v1A0tZUd7iCWNiV1RH9ey,Spring - 5 Songs for a New Love,spotify:album:6RQZdu2K4DxbcCtChhrQWZ,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,4/29/12,17,207599
128,Your House,spotify:track:1h8rXkv95aH7ygGGFvZ0ZX,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,10/7/20,17,228480
36,후회해 (Duet. 헤이즈) Regrets (Duet. Heize),spotify:track:3FuIbAOgfiQ2VIGN9i8eRI,BLUE & RED,spotify:album:0uRYjbm6DD7fSzak7MogRv,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,10/16/17,16,217196
35,I'm going back,spotify:track:4TrU7Rvkd9z58WCdMYMNXk,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,10/7/20,15,259586
77,Grateless prison,spotify:track:1tEgVx7YxXtJ9OWiDaZfnd,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,15,298138
154,From room door to bed,spotify:track:0TGtyZuc9AbSdgIVQdYYuG,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,15,199839
127,잠수교 (Sing the Road #02),spotify:track:2ciucWGGWYSm7rJkCHdQxn,잠수교 (Sing the Road #02),spotify:album:49rxDmh6pPxZZjgnvrdbV8,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,9/8/15,15,229746
117,deja vu,spotify:track:5xQHj38fZ7jgzO8JjIE3TD,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,14,229723
73,FAREWELL UNDER THE SUN,spotify:track:7dd3FzVAKHrlR6MnMPe99Y,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,10/7/20,14,273706
80,Your Woman,spotify:track:4odjG056AIZ97A1YQqAivX,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,14,190346
5,방문을 닫으면 (Behind closed doors),spotify:track:6dmNuJysRUqX2CDA4q2MGs,24/34,spotify:album:7cPUxsJL1nMh87bld2LyTo,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,4/12/15,14,215955
29,공항 가는 길 (Sing the Road #01),spotify:track:706LoVTCOrRthfLgmRtx8L,공항 가는 길 (Sing the Road #01),spotify:album:5BS3YgigDavmFlR63rJxPc,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,9/1/15,14,183484
28,With the first met I met,spotify:track:2CjolE6nfcvq927yN8xiuk,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,14,232701
24,This small hand,spotify:track:0Lnyoo5XUVWpcaURx1oV8S,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,10/7/20,14,266106
62,너뿐이야 You're the One (Happy Ending Ver.),spotify:track:5yHreRuN4V3fN5BC0OZS4i,Halftime,spotify:album:0WD4C1F65xkn7nRSEvBZ9b,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,9/9/13,14,258552
95,Secret Love,spotify:track:2QGTtcsV2RQCLzk7MxhmHD,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,13,215513
60,마지막 사랑 Last Love,spotify:track:7i6OdQgseQmTH5M4kUDPM5,Spring - 5 Songs for a New Love,spotify:album:5Ami0gmp8cK6rj6q0vrD8z,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,4/29/12,13,240869
34,I Am Going Back,spotify:track:660fvTjhqmIyOrDKdTUB88,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,13,257453
46,Your fingertips,spotify:track:3mVOHmbD8YrB0KGveLcooq,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,13,287088
114,Game,spotify:track:3PNhFdYVO1xGHOR5rsPL1r,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,13,246625
40,"FEVER (feat. 수퍼비, BIBI)",spotify:track:5wGa5Arp1jismTz4YJ2MNq,FEVER,spotify:album:21XIrrzz93SAunoy7pRPMW,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,12/23/19,13,173925
133,Single,spotify:track:6kpMDb2dTWQEjpfKnhHGQy,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,13,225040
